index,x,y,speed,distance,direction,jerseyNumber,team,playId,result
1988,31.46,23.5,0.86,0.13,277.47,98.0,away,51,3
2082,34.89,34.87,1.26,0.14,130.14,94.0,away,51,3
2176,37.95,34.02,0.16,0.09,51.23,26.0,away,51,3
2270,40.47,45.1,2.45,0.37,65.64,22.0,away,51,3
2364,32.8,26.7,3.01,0.31,223.39,90.0,away,51,3
2458,32.27,26.6,2.44,0.23,250.53,95.0,away,51,3
2552,35.72,29.89,1.41,0.22,259.69,52.0,away,51,3
2646,41.78,13.06,3.71,0.38,183.47,23.0,away,51,3
2740,34.06,29.86,2.24,0.29,212.67,99.0,away,51,3
2834,54.87,27.38,4.04,0.43,172.55,20.0,away,51,3
2928,40.35,21.99,3.22,0.31,163.44,31.0,away,51,3
3022,39.9,45.91,2.76,0.4,76.29,15.0,home,51,3
3116,30.22,29.28,1.23,0.1,254.73,2.0,home,51,3
3210,31.55,26.87,1.77,0.19,254.84,63.0,home,51,3
3304,32.35,27.92,1.72,0.18,236.4,67.0,home,51,3
3398,33.33,30.25,2.05,0.26,215.37,74.0,home,51,3
3492,38.69,22.23,4.64,0.48,146.47,88.0,home,51,3
3586,38.97,14.15,5.93,0.65,149.11,11.0,home,51,3
3680,34.43,34.53,1.57,0.18,85.07,44.0,home,51,3
3774,31.88,32.03,1.81,0.22,75.0,28.0,home,51,3
3868,33.58,27.15,2.83,0.36,205.41,75.0,home,51,3
3962,31.08,24.51,1.48,0.18,245.14,77.0,home,51,3
14739,41.49,25.32,3.67,0.39,339.06,98.0,away,229,1
14828,40.1,30.02,3.9,0.5,189.8,94.0,away,229,1
14917,59.47,22.83,2.24,0.14,166.21,26.0,away,229,1
15006,63.8,11.24,3.86,0.51,81.35,22.0,away,229,1
15095,46.68,26.12,0.75,0.09,105.05,90.0,away,229,1
15184,59.84,32.17,2.79,0.26,148.13,52.0,away,229,1
15273,56.24,49.91,1.94,0.27,42.8,23.0,away,229,1
15362,69.1,38.92,2.73,0.31,118.72,38.0,away,229,1
15451,45.12,29.24,2.52,0.28,195.93,99.0,away,229,1
15540,62.43,12.88,2.43,0.26,167.4,20.0,away,229,1
15629,65.11,19.9,2.63,0.25,206.29,31.0,away,229,1
15718,62.05,25.85,5.36,0.6,37.05,15.0,home,229,1
15807,43.41,28.69,1.15,0.17,117.37,2.0,home,229,1
15896,45.27,26.54,0.8,0.08,198.29,63.0,home,229,1
15985,46.31,27.06,0.35,0.05,152.49,67.0,home,229,1
16074,40.14,30.9,4.1,0.45,214.48,74.0,home,229,1
16163,61.06,12.19,3.89,0.45,72.73,11.0,home,229,1
16252,44.51,29.87,1.43,0.11,185.86,75.0,home,229,1
16341,42.48,24.78,2.29,0.32,302.23,77.0,home,229,1
16430,57.76,51.53,5.55,0.61,63.75,81.0,home,229,1
16519,53.83,16.61,3.32,0.3,145.75,85.0,home,229,1
16608,46.31,43.28,5.47,0.59,28.29,22.0,home,229,1
18789,65.09,30.41,3.03,0.23,22.7,26.0,away,287,1
18868,74.51,34.22,5.12,0.63,83.92,22.0,away,287,1
18947,66.81,31.56,6.23,0.63,6.96,52.0,away,287,1
19026,77.28,42.05,7.03,0.71,49.73,23.0,away,287,1
19105,86.41,31.83,4.52,0.51,37.45,20.0,away,287,1
19184,64.95,21.6,1.47,0.19,252.71,31.0,away,287,1
19263,57.0,26.8,2.69,0.26,237.88,93.0,away,287,1
19342,56.05,29.2,2.07,0.36,246.88,96.0,away,287,1
19421,63.18,23.41,0.46,0.07,319.54,97.0,away,287,1
19500,61.95,25.93,0.6,0.12,275.73,92.0,away,287,1
19579,57.19,21.11,2.09,0.26,330.06,50.0,away,287,1
19658,76.04,33.13,5.2,0.63,101.43,15.0,home,287,1
19737,55.64,24.7,0.42,0.09,186.92,2.0,home,287,1
19816,61.34,24.27,0.49,0.06,222.77,63.0,home,287,1
19895,61.89,25.86,0.51,0.05,282.39,67.0,home,287,1
19974,56.47,28.95,2.59,0.35,255.81,74.0,home,287,1
20053,57.11,21.81,1.97,0.24,322.54,82.0,home,287,1
20132,75.92,42.72,8.19,0.9,62.93,11.0,home,287,1
20211,66.13,28.27,0.81,0.11,86.15,44.0,home,287,1
20290,56.9,25.89,2.4,0.23,240.35,75.0,home,287,1
20369,63.08,22.59,0.66,0.1,163.13,77.0,home,287,1
20448,63.52,35.01,6.55,0.69,20.2,22.0,home,287,1
22069,65.28,24.31,2.11,0.3,272.13,98.0,away,336,1
22150,62.64,32.83,4.67,0.49,237.92,94.0,away,336,1
22231,63.94,28.96,5.52,0.61,266.14,26.0,away,336,1
22312,75.61,42.01,5.61,0.61,53.18,22.0,away,336,1
22393,66.16,29.74,1.56,0.25,237.49,90.0,away,336,1
22474,69.8,27.83,6.26,0.66,170.13,52.0,away,336,1
22555,79.01,21.77,4.29,0.44,49.53,23.0,away,336,1
22636,86.89,27.99,2.18,0.23,136.75,38.0,away,336,1
22717,64.31,27.26,2.83,0.3,261.9,99.0,away,336,1
22798,73.36,26.21,2.31,0.26,40.93,20.0,away,336,1
22879,74.07,23.0,2.82,0.28,350.23,31.0,away,336,1
22960,75.2,42.97,6.39,0.7,57.46,15.0,home,336,1
23041,60.88,28.9,3.34,0.34,248.92,2.0,home,336,1
23122,63.59,27.98,2.84,0.37,269.71,63.0,home,336,1
23203,64.4,29.17,2.56,0.36,255.04,67.0,home,336,1
23284,63.13,32.25,3.43,0.35,246.8,74.0,home,336,1
23365,76.98,22.37,5.46,0.63,59.51,11.0,home,336,1
23446,66.03,30.31,1.46,0.2,213.47,75.0,home,336,1
23527,64.33,25.27,1.82,0.22,255.29,77.0,home,336,1
23608,73.04,25.94,2.2,0.28,45.68,81.0,home,336,1
23689,70.96,25.23,3.59,0.41,25.39,85.0,home,336,1
23770,69.68,24.25,6.56,0.66,160.29,22.0,home,336,1
27902,94.58,16.55,1.67,0.17,232.24,98.0,away,427,2
27952,97.6,23.49,0.58,0.21,200.38,26.0,away,427,2
28002,97.34,13.68,2.75,0.26,145.6,22.0,away,427,2
28052,94.84,22.09,2.6,0.3,190.9,90.0,away,427,2
28102,95.2,20.02,2.26,0.43,182.28,95.0,away,427,2
28152,98.18,19.63,2.22,0.33,200.88,52.0,away,427,2
28202,100.47,32.86,3.41,0.33,192.56,23.0,away,427,2
28252,95.27,24.51,2.5,0.4,183.74,99.0,away,427,2
28302,107.8,24.42,1.88,0.17,262.84,20.0,away,427,2
28352,96.23,17.19,1.88,0.24,207.21,31.0,away,427,2
28402,94.41,28.59,3.55,0.42,213.47,96.0,away,427,2
28452,95.16,13.7,3.53,0.65,139.41,15.0,home,427,2
28502,92.37,23.89,1.62,0.17,248.26,2.0,home,427,2
28552,94.15,20.76,2.98,0.34,166.27,63.0,home,427,2
28602,93.86,21.74,3.26,0.4,183.2,67.0,home,427,2
28652,96.35,32.01,4.2,0.46,143.0,19.0,home,427,2
28702,94.31,24.37,3.77,0.41,157.25,74.0,home,427,2
28752,94.15,18.1,2.27,0.22,168.9,82.0,home,427,2
28802,94.05,17.5,1.56,0.31,201.75,88.0,home,427,2
28852,94.87,23.76,3.17,0.4,156.46,75.0,home,427,2
28902,94.5,19.03,3.03,0.48,167.44,77.0,home,427,2
28952,88.73,22.53,3.77,0.5,145.0,22.0,home,427,2
29063,99.56,16.65,3.4,0.35,156.12,98.0,away,456,1
29149,100.7,29.18,1.18,0.23,215.17,26.0,away,456,1
29235,104.64,43.78,2.99,0.36,97.63,22.0,away,456,1
29321,91.68,22.73,1.78,0.17,356.13,90.0,away,456,1
29407,91.24,19.14,0.51,0.08,346.7,95.0,away,456,1
29493,98.36,19.18,1.32,0.18,159.39,52.0,away,456,1
29579,101.91,35.12,1.13,0.06,1.42,23.0,away,456,1
29665,89.29,28.95,2.3,0.25,272.22,99.0,away,456,1
29751,107.82,35.21,0.24,0.14,242.56,20.0,away,456,1
29837,108.57,18.38,2.16,0.26,104.69,31.0,away,456,1
29923,90.94,24.88,2.73,0.29,265.37,96.0,away,456,1
30009,99.87,41.45,3.36,0.35,151.23,15.0,home,456,1
30095,87.84,25.31,1.08,0.12,309.42,2.0,home,456,1
30181,90.72,22.17,1.33,0.16,300.89,63.0,home,456,1
30267,90.87,23.23,0.71,0.1,328.08,67.0,home,456,1
30353,89.23,27.91,2.37,0.25,274.95,74.0,home,456,1
30439,104.19,19.84,6.03,0.71,114.79,88.0,home,456,1
30525,103.95,35.18,6.14,0.61,61.37,11.0,home,456,1
30611,98.39,31.79,4.9,0.55,167.94,44.0,home,456,1
30697,90.37,25.16,2.16,0.29,256.89,75.0,home,456,1
30783,90.49,19.57,1.16,0.1,248.41,77.0,home,456,1
30869,88.73,16.13,5.54,0.61,166.7,22.0,home,456,1
36132,86.21,33.34,0.78,0.09,350.38,76.0,away,538,2
36244,91.2,28.54,1.04,0.12,291.4,77.0,away,538,2
36356,87.42,27.69,1.77,0.2,358.15,65.0,away,538,2
36468,61.07,8.88,3.2,0.31,337.86,11.0,away,538,2
36580,77.33,50.0,3.28,0.38,345.49,17.0,away,538,2
36692,72.2,12.25,1.19,0.15,345.0,12.0,away,538,2
36804,92.77,43.54,3.99,0.42,347.79,68.0,away,538,2
36916,89.9,36.58,3.04,0.32,5.63,79.0,away,538,2
37028,83.52,54.2,1.54,0.2,9.51,30.0,away,538,2
37140,96.19,49.59,6.36,0.68,341.25,16.0,away,538,2
37252,90.13,43.34,4.1,0.44,312.12,89.0,away,538,2
37364,92.41,47.18,7.14,0.75,9.29,90.0,home,538,2
37476,78.27,42.65,6.4,0.68,2.61,53.0,home,538,2
37588,81.92,53.37,1.32,0.11,292.9,54.0,home,538,2
37700,76.38,48.9,2.49,0.36,354.65,36.0,home,538,2
37812,65.53,46.89,5.24,0.56,46.27,25.0,home,538,2
37924,67.93,11.57,2.12,0.24,335.82,24.0,home,538,2
38036,81.6,50.61,1.64,0.11,319.05,29.0,home,538,2
38148,96.45,41.51,6.39,0.67,339.34,91.0,home,538,2
38260,89.88,34.37,5.23,0.56,341.08,99.0,home,538,2
38372,60.28,9.42,3.24,0.34,339.92,33.0,home,538,2
38484,91.04,41.12,5.69,0.61,323.93,94.0,home,538,2
41960,78.14,20.49,0.39,0.05,209.68,76.0,away,633,0
42051,83.03,21.23,2.01,0.26,80.53,77.0,away,633,0
42142,76.11,20.69,1.16,0.12,275.03,65.0,away,633,0
42233,57.08,16.74,4.12,0.41,321.48,86.0,away,633,0
42324,55.46,5.41,7.04,0.73,259.21,11.0,away,633,0
42415,60.82,49.96,7.13,0.75,294.87,17.0,away,633,0
42506,82.44,22.36,2.15,0.24,96.23,68.0,away,633,0
42597,83.89,24.97,3.35,0.37,77.22,79.0,away,633,0
42688,69.92,26.69,3.76,0.41,333.97,30.0,away,633,0
42779,81.88,31.18,5.23,0.55,358.48,16.0,away,633,0
42870,53.65,35.49,7.03,0.76,284.06,89.0,away,633,0
42961,76.09,19.36,2.36,0.31,278.37,90.0,home,633,0
43052,66.68,24.76,5.44,0.6,13.36,53.0,home,633,0
43143,83.38,21.76,3.16,0.37,27.49,95.0,home,633,0
43234,65.17,33.96,4.33,0.46,2.58,54.0,home,633,0
43325,56.76,5.5,6.88,0.72,266.47,36.0,home,633,0
43416,48.3,23.04,4.86,0.5,320.69,25.0,home,633,0
43507,54.05,35.97,7.11,0.75,283.26,29.0,home,633,0
43598,84.95,28.38,4.87,0.53,20.9,91.0,home,633,0
43689,59.31,13.6,5.29,0.57,315.81,57.0,home,633,0
43780,79.18,29.59,4.62,0.53,6.4,99.0,home,633,0
43871,61.26,48.13,6.13,0.61,301.9,33.0,home,633,0
44037,43.96,37.81,2.96,0.36,7.05,76.0,away,657,1
44120,45.69,34.57,2.49,0.28,36.59,77.0,away,657,1
44203,41.76,38.26,0.79,0.08,353.73,65.0,away,657,1
44286,40.34,19.71,6.39,0.66,191.22,86.0,away,657,1
44369,28.72,22.62,8.0,0.83,260.69,11.0,away,657,1
44452,28.54,35.41,8.05,0.83,248.83,17.0,away,657,1
44535,44.75,39.58,3.27,0.4,39.52,68.0,away,657,1
44618,44.66,41.45,2.09,0.23,10.98,79.0,away,657,1
44701,45.26,42.36,5.64,0.62,338.9,30.0,away,657,1
44784,52.2,27.64,4.48,0.5,162.02,16.0,away,657,1
44867,33.38,30.16,6.86,0.74,211.04,89.0,away,657,1
44950,47.3,34.77,3.06,0.37,92.35,90.0,home,657,1
45033,43.33,38.93,2.87,0.3,357.41,53.0,home,657,1
45116,41.67,30.8,2.44,0.29,177.34,95.0,home,657,1
45199,38.52,38.57,2.6,0.31,316.74,54.0,home,657,1
45282,29.15,20.83,7.64,0.79,262.78,36.0,home,657,1
45365,24.61,26.26,4.16,0.48,222.43,25.0,home,657,1
45448,30.84,27.03,4.91,0.47,193.8,29.0,home,657,1
45531,43.64,40.17,1.02,0.1,6.72,91.0,home,657,1
45614,40.68,25.35,4.29,0.47,218.17,57.0,home,657,1
45697,44.19,40.2,2.76,0.36,38.35,99.0,home,657,1
45780,28.06,38.49,5.37,0.53,243.62,33.0,home,657,1
47803,23.46,27.21,1.54,0.13,112.75,76.0,away,710,1
47859,26.65,26.99,1.72,0.19,51.32,77.0,away,710,1
47915,22.55,27.78,0.36,0.06,225.78,65.0,away,710,1
47971,14.6,19.45,0.81,0.07,244.61,12.0,away,710,1
48027,25.57,30.06,2.65,0.3,159.92,68.0,away,710,1
48083,27.34,32.7,1.74,0.24,137.74,79.0,away,710,1
48139,19.62,29.86,3.15,0.4,250.05,30.0,away,710,1
48195,26.71,28.5,0.61,0.09,140.25,16.0,away,710,1
48251,15.3,37.43,1.65,0.2,296.04,89.0,away,710,1
48307,14.27,46.88,5.22,0.53,339.13,10.0,away,710,1
48363,14.41,10.44,6.06,0.67,198.01,18.0,away,710,1
48419,21.6,27.17,0.65,0.02,251.17,90.0,home,710,1
48475,14.67,24.77,1.44,0.17,27.57,53.0,home,710,1
48531,27.02,26.25,1.84,0.24,42.49,95.0,home,710,1
48587,15.52,32.83,2.45,0.3,167.42,54.0,home,710,1
48643,10.35,13.38,1.45,0.2,208.32,36.0,home,710,1
48699,7.22,22.38,0.63,0.15,157.62,25.0,home,710,1
48755,14.88,16.34,1.51,0.18,307.76,24.0,home,710,1
48811,15.5,40.77,1.4,0.16,274.07,29.0,home,710,1
48867,24.87,29.48,3.72,0.36,152.06,99.0,home,710,1
48923,13.46,46.28,4.62,0.52,350.11,33.0,home,710,1
48979,26.9,33.48,1.35,0.21,168.93,94.0,home,710,1
49090,18.91,27.19,2.35,0.2,22.45,76.0,away,734,1
49153,19.51,24.0,1.38,0.19,61.78,77.0,away,734,1
49216,19.34,27.81,1.94,0.2,48.22,65.0,away,734,1
49279,16.81,15.73,5.75,0.64,200.99,17.0,away,734,1
49342,14.37,23.07,3.71,0.45,316.23,12.0,away,734,1
49405,19.91,29.07,1.72,0.22,79.88,68.0,away,734,1
49468,20.04,30.17,1.94,0.23,77.33,79.0,away,734,1
49531,18.66,35.77,6.61,0.7,336.0,30.0,away,734,1
49594,23.15,27.03,1.01,0.1,77.99,16.0,away,734,1
49657,13.98,34.04,3.18,0.42,263.95,89.0,away,734,1
49720,13.7,17.94,4.38,0.54,278.13,18.0,away,734,1
49783,17.81,28.2,2.9,0.29,33.34,90.0,home,734,1
49846,11.53,27.13,2.72,0.26,352.3,53.0,home,734,1
49909,18.36,23.89,1.94,0.22,54.47,95.0,home,734,1
49972,12.92,33.77,5.55,0.58,339.82,54.0,home,734,1
50035,10.57,14.9,2.22,0.25,280.54,36.0,home,734,1
50098,7.48,30.25,5.16,0.5,0.66,25.0,home,734,1
50161,13.7,14.8,4.35,0.52,194.58,24.0,home,734,1
50224,13.4,34.76,2.72,0.34,264.47,29.0,home,734,1
50287,18.87,28.7,2.57,0.25,63.23,99.0,home,734,1
50350,12.59,23.87,1.2,0.2,340.58,33.0,home,734,1
50413,18.96,30.45,2.43,0.25,59.43,94.0,home,734,1
53992,31.4,34.18,2.44,0.36,34.94,98.0,away,800,2
54065,30.82,14.03,6.22,0.66,178.13,26.0,away,800,2
54138,38.08,38.5,3.23,0.36,48.1,22.0,away,800,2
54211,24.75,24.55,3.07,0.35,255.1,90.0,away,800,2
54284,29.58,20.38,2.93,0.33,195.89,52.0,away,800,2
54357,33.95,7.93,4.0,0.52,114.7,23.0,away,800,2
54430,27.18,22.63,2.4,0.3,263.8,99.0,away,800,2
54503,47.71,13.73,4.14,0.58,154.64,20.0,away,800,2
54576,42.84,30.58,3.12,0.34,71.99,31.0,away,800,2
54649,24.19,19.3,3.57,0.44,295.29,96.0,away,800,2
54722,26.49,27.32,2.48,0.2,280.06,97.0,away,800,2
54795,35.74,33.53,6.19,0.66,82.43,15.0,home,800,2
54868,22.11,22.98,3.37,0.35,264.61,2.0,home,800,2
54941,26.98,21.32,1.41,0.09,256.5,63.0,home,800,2
55014,25.08,23.83,1.88,0.21,263.3,67.0,home,800,2
55087,26.26,26.66,1.24,0.1,267.71,74.0,home,800,2
55160,31.74,38.49,6.4,0.68,49.41,88.0,home,800,2
55233,33.9,7.11,4.49,0.52,111.84,11.0,home,800,2
55306,28.0,12.46,6.35,0.69,151.27,44.0,home,800,2
55379,28.34,24.45,3.13,0.28,163.06,75.0,home,800,2
55452,28.12,19.54,2.44,0.28,155.45,77.0,home,800,2
55525,25.45,19.84,3.23,0.32,133.14,22.0,home,800,2
57407,36.0,18.26,1.56,0.25,266.72,98.0,away,843,1
57517,39.7,33.89,5.14,0.55,14.42,26.0,away,843,1
57627,52.45,21.69,6.8,0.69,28.46,22.0,away,843,1
57737,36.01,26.89,0.87,0.14,322.0,90.0,away,843,1
57847,36.91,28.54,3.22,0.31,322.59,52.0,away,843,1
57957,58.55,35.42,6.84,0.72,93.15,23.0,away,843,1
58067,34.52,27.5,0.85,0.1,216.86,99.0,away,843,1
58177,64.0,29.59,6.0,0.66,34.07,20.0,away,843,1
58287,37.51,22.09,3.76,0.47,296.54,31.0,away,843,1
58397,36.89,26.96,2.24,0.25,185.1,96.0,away,843,1
58507,36.68,25.05,4.06,0.46,280.04,97.0,away,843,1
58617,50.81,27.77,8.46,0.88,29.06,15.0,home,843,1
58727,30.44,24.55,0.3,0.06,242.14,2.0,home,843,1
58837,36.17,25.89,1.03,0.15,290.84,63.0,home,843,1
58947,35.31,26.01,0.91,0.1,321.73,67.0,home,843,1
59057,35.96,27.98,0.17,0.02,150.94,74.0,home,843,1
59167,35.76,19.27,1.15,0.15,253.34,88.0,home,843,1
59277,57.73,33.26,8.82,0.95,100.28,11.0,home,843,1
59387,39.09,34.7,5.42,0.55,16.72,44.0,home,843,1
59497,33.7,27.27,0.67,0.07,288.54,75.0,home,843,1
59607,38.49,24.64,1.83,0.24,276.93,77.0,home,843,1
59717,35.14,28.54,1.21,0.16,30.02,22.0,home,843,1
66629,64.31,19.71,1.11,0.13,189.31,76.0,away,970,1
66708,71.06,21.99,1.87,0.22,57.76,77.0,away,970,1
66787,63.79,20.43,1.14,0.14,182.96,65.0,away,970,1
66866,56.69,8.62,7.13,0.73,233.63,17.0,away,970,1
66945,48.28,12.09,7.98,0.82,296.78,12.0,away,970,1
67024,65.56,20.85,2.49,0.3,149.24,68.0,away,970,1
67103,65.84,24.28,2.05,0.21,105.28,79.0,away,970,1
67182,65.86,25.99,2.62,0.29,258.69,30.0,away,970,1
67261,72.42,23.78,1.1,0.04,81.01,16.0,away,970,1
67340,69.01,27.15,3.6,0.39,86.81,89.0,away,970,1
67419,60.43,21.62,6.95,0.73,186.68,18.0,away,970,1
67498,63.37,19.93,0.92,0.08,188.47,90.0,home,970,1
67577,54.76,18.59,3.56,0.34,206.09,53.0,home,970,1
67656,55.94,27.04,3.11,0.29,260.66,54.0,home,970,1
67735,46.95,10.67,6.3,0.66,302.58,36.0,home,970,1
67814,42.46,21.9,4.02,0.39,254.78,25.0,home,970,1
67893,57.7,10.86,5.15,0.54,234.23,24.0,home,970,1
67972,61.5,32.13,2.5,0.33,325.94,29.0,home,970,1
68051,68.89,27.79,3.01,0.41,89.69,91.0,home,970,1
68130,66.69,21.14,2.78,0.34,96.41,99.0,home,970,1
68209,59.91,33.08,1.67,0.21,270.35,33.0,home,970,1
68288,70.69,20.97,1.77,0.25,40.58,94.0,home,970,1
68445,46.79,22.58,1.64,0.24,115.9,76.0,away,994,2
68519,49.32,21.13,0.73,0.1,37.4,77.0,away,994,2
68593,46.92,28.05,1.69,0.18,37.04,65.0,away,994,2
68667,31.79,41.59,6.89,0.7,329.14,17.0,away,994,2
68741,26.35,13.21,8.12,0.85,272.87,12.0,away,994,2
68815,48.44,26.13,1.64,0.23,109.87,68.0,away,994,2
68889,50.32,26.99,1.57,0.19,70.35,79.0,away,994,2
68963,39.24,23.98,3.01,0.32,296.45,30.0,away,994,2
69037,49.86,23.2,0.11,0.08,256.07,16.0,away,994,2
69111,30.19,34.35,7.61,0.79,278.43,89.0,away,994,2
69185,31.9,4.47,6.82,0.71,233.14,18.0,away,994,2
69259,46.22,21.89,2.09,0.25,124.8,90.0,home,994,2
69333,34.97,22.27,3.08,0.39,12.63,53.0,home,994,2
69407,32.84,30.6,3.47,0.38,309.35,54.0,home,994,2
69481,25.29,9.79,5.85,0.65,268.23,36.0,home,994,2
69555,20.52,20.01,3.99,0.43,301.27,25.0,home,994,2
69629,34.11,8.57,2.77,0.3,263.32,24.0,home,994,2
69703,31.11,34.99,6.24,0.62,275.88,29.0,home,994,2
69777,49.54,26.76,1.95,0.14,117.02,91.0,home,994,2
69851,47.89,28.68,2.05,0.29,40.64,99.0,home,994,2
69925,29.81,41.0,5.64,0.61,339.11,33.0,home,994,2
69999,49.05,20.14,1.08,0.13,330.09,94.0,home,994,2
72178,44.81,22.25,2.82,0.28,327.76,76.0,away,1058,1
72263,47.16,19.93,1.64,0.17,56.71,77.0,away,1058,1
72348,44.09,25.66,3.2,0.36,340.25,65.0,away,1058,1
72433,42.62,6.03,4.28,0.51,279.12,11.0,away,1058,1
72518,42.51,13.8,3.24,0.42,256.42,17.0,away,1058,1
72603,45.1,25.74,1.0,0.18,16.7,68.0,away,1058,1
72688,46.91,28.7,2.74,0.3,55.54,79.0,away,1058,1
72773,49.18,23.6,0.72,0.09,88.14,16.0,away,1058,1
72858,46.42,34.92,1.62,0.35,38.48,10.0,away,1058,1
72943,45.55,31.96,3.88,0.54,7.14,81.0,away,1058,1
73028,42.86,42.81,3.33,0.56,275.65,18.0,away,1058,1
73113,47.13,29.39,4.08,0.52,89.31,58.0,home,1058,1
73198,37.53,29.68,2.11,0.17,5.88,53.0,home,1058,1
73283,38.84,13.7,1.38,0.15,219.61,54.0,home,1058,1
73368,45.88,19.41,3.58,0.37,28.35,59.0,home,1058,1
73453,35.23,6.13,3.23,0.31,278.88,36.0,home,1058,1
73538,26.62,31.41,1.65,0.12,8.51,25.0,home,1058,1
73623,42.2,35.7,4.01,0.45,78.52,24.0,home,1058,1
73708,30.75,20.73,2.26,0.16,32.01,29.0,home,1058,1
73793,44.16,26.36,0.35,0.12,124.85,91.0,home,1058,1
73878,46.61,20.86,3.22,0.47,56.03,99.0,home,1058,1
73963,36.67,43.78,1.28,0.23,283.74,33.0,home,1058,1
76998,94.49,22.0,4.12,0.54,37.37,94.0,away,1137,2
77063,78.92,21.58,3.7,0.35,231.9,26.0,away,1137,2
77128,76.65,6.08,5.0,0.48,240.3,22.0,away,1137,2
77193,90.51,21.65,2.61,0.41,91.22,90.0,away,1137,2
77258,91.02,23.05,4.05,0.42,124.53,95.0,away,1137,2
77323,78.13,28.13,4.01,0.43,231.38,52.0,away,1137,2
77388,73.79,42.16,4.83,0.5,236.75,23.0,away,1137,2
77453,58.72,23.22,3.67,0.36,201.43,20.0,away,1137,2
77518,79.48,35.94,1.44,0.15,283.97,31.0,away,1137,2
77583,90.75,20.55,1.05,0.15,30.34,93.0,away,1137,2
77648,91.51,27.72,1.99,0.18,176.16,50.0,away,1137,2
77713,77.15,5.17,6.66,0.68,250.75,15.0,home,1137,2
77778,92.7,23.39,1.31,0.08,99.62,2.0,home,1137,2
77843,90.64,24.15,2.94,0.32,121.49,63.0,home,1137,2
77908,90.71,22.19,2.68,0.38,94.93,67.0,home,1137,2
